stat_id,stat_name,lon,lat,vs30
1,ADCS,171.747604,-43.902401,230.000000
2,AICS,171.624405,-42.768200,286.000000
3,AKSS,172.963501,-43.810902,265.000000
4,AKUS,174.770493,-36.853199,484.000000
5,AMBC,172.730896,-43.154701,231.000000
6,APPS,171.567703,-42.948898,282.000000
7,ARKS,174.944107,-41.242100,262.000000
8,ARPS,171.407898,-42.523998,253.000000
9,ASHS,172.595901,-43.274399,230.000000
10,AVIS,170.356995,-44.655201,500.000000
11,BCOF,167.469406,-44.794899,599.000000
12,BDCS,169.719406,-46.249100,348.000000
13,BENS,170.192993,-44.563000,500.000000
14,BFZ,176.246201,-40.679600,384.000000
15,BKZ,176.492493,-39.165699,486.000000
16,BMTS,174.925995,-41.191399,398.000000
17,BOWS,174.776306,-41.279202,267.000000
18,BSWZ,173.875702,-41.714901,599.000000
19,BTWS,173.128494,-41.389198,256.000000
20,BWHS,172.682205,-43.480400,199.000000
21,BWRS,173.905106,-41.439499,608.000000
22,CACS,172.529999,-43.483200,435.000000
23,CBGS,172.619904,-43.529301,197.000000
24,CCCC,172.647400,-43.538101,177.000000
25,CCPS,172.632294,-43.532200,182.000000
26,CECS,173.274902,-42.813499,231.000000
27,CHHC,172.627502,-43.535900,206.000000
28,CMHS,172.624207,-43.565601,205.000000
29,CMWZ,174.213806,-41.749001,301.000000
30,COLD,172.102600,-43.600498,253.000000
31,CPFS,176.220993,-40.898800,195.000000
32,CRLZ,172.623199,-43.574699,900.000000
33,CSBF,166.869293,-45.293098,473.000000
34,CSHS,171.723602,-43.226501,278.000000
35,CSTC,172.381302,-43.312302,284.000000
36,CUBS,174.774399,-41.295502,289.000000
37,CULC,172.802597,-42.759399,232.000000
38,CVZ,171.006195,-44.383202,608.000000
39,D04C,172.673203,-43.512001,188.000000
40,D06C,172.614197,-43.540199,176.000000
41,D07C,172.675705,-43.517300,186.000000
42,D08C,172.632706,-43.532398,181.000000
43,D09C,172.632599,-43.532299,181.000000
44,D10C,172.632706,-43.532398,181.000000
45,D13C,172.644897,-43.606499,444.000000
46,D14C,172.624695,-43.632500,733.000000
47,D15C,172.725601,-43.584702,764.000000
48,DALS,172.673203,-43.512001,188.000000
49,DAVS,174.954407,-41.205799,251.000000
50,DCDS,170.502197,-45.874298,429.000000
51,DCZ,167.153503,-45.464699,473.000000
52,DECF,166.972702,-45.202599,500.000000
53,DFHS,172.102203,-43.489700,518.000000
54,DGNS,170.513901,-45.862598,224.000000
55,DHSS,172.727203,-43.630299,366.000000
56,DKHS,170.492905,-45.902199,200.000000
57,DORC,172.093796,-43.896801,230.000000
58,DSLC,172.197906,-43.667500,230.000000
59,DSZ,171.804596,-41.744999,368.000000
60,DUNS,170.470596,-45.905201,518.000000
61,DUWZ,173.921600,-40.801701,494.000000
62,DVHS,176.101395,-40.201698,232.000000
63,EAZ,169.308304,-45.231098,608.000000
64,EBPS,174.900208,-41.289398,349.000000
65,ECLS,178.548203,-37.688801,499.000000
66,EDAS,176.832199,-37.977699,181.000000
67,EKS1,175.990997,-40.671299,494.000000
68,EKS2,175.806900,-40.743401,241.000000
69,EKS3,175.822403,-40.600498,240.000000
70,EKTS,175.708801,-40.649502,228.000000
71,EYRS,172.355392,-43.421398,231.000000
72,FAHS,175.572998,-40.213501,258.000000
73,FAIS,174.940094,-41.207401,380.000000
74,FDCS,170.828705,-44.098701,260.000000
75,FGPS,170.019806,-43.463200,271.000000
76,FJDS,170.184204,-43.389099,329.000000
77,FKPS,174.778793,-41.287899,400.000000
78,FOZ,169.815506,-43.532101,473.000000
79,FTPS,175.327393,-41.118698,233.000000
80,FXBS,175.225998,-40.461399,306.000000
81,GDLC,172.088806,-43.586201,457.000000
82,GHHS,178.017700,-38.641800,223.000000
83,GISS,178.022705,-38.666500,154.000000
84,GKBS,178.031906,-38.682201,396.000000
85,GLNS,168.406494,-44.864399,369.000000
86,GLWS,172.511002,-42.594200,293.000000
87,GMFS,171.204300,-42.457802,235.000000
88,GMTS,171.210403,-42.449200,256.000000
89,GODS,172.769302,-43.578400,586.000000
90,GORS,168.941696,-46.102699,260.000000
91,GOVS,172.635696,-43.652401,479.000000
92,GPSS,174.914703,-41.236599,287.000000
93,GRZ,175.457794,-36.250198,429.000000
94,GVZ,173.034805,-42.967400,484.000000
95,GWTS,177.921600,-38.625702,229.000000
96,HAFS,170.556107,-43.148899,269.000000
97,HALS,172.569504,-43.590900,183.000000
98,HAVS,173.784698,-41.272301,599.000000
99,HAZ,177.782593,-37.756100,486.000000
100,HBHS,175.295105,-37.785599,228.000000
101,HCDS,176.842896,-39.645802,200.000000
102,HDWS,169.044098,-43.882999,230.000000
103,HHSS,172.592804,-43.557499,179.000000
104,HIBS,175.035904,-41.139900,230.000000
105,HMCS,170.964005,-42.716900,303.000000
106,HNPS,176.880096,-39.671001,265.000000
107,HOCS,175.279404,-40.621601,231.000000
108,HORC,171.959900,-43.539600,531.000000
109,HPSC,172.702194,-43.501598,207.000000
110,HSES,172.830505,-42.523201,232.000000
111,HSSS,174.981506,-41.151901,482.000000
112,HUKS,174.568100,-39.260502,238.000000
113,HUNS,172.657196,-43.579399,614.000000
114,HVSC,172.709396,-43.579800,352.000000
115,HWHS,174.274200,-39.585098,212.000000
116,ICCS,168.346893,-46.411598,269.000000
117,IFPS,171.472794,-42.726700,256.000000
118,INGS,171.952499,-41.857101,292.000000
119,INHS,174.190506,-39.156200,303.000000
120,INSS,174.921097,-41.233501,451.000000
121,INZ,171.444107,-42.724499,270.000000
122,JCWJ,168.611801,-43.972301,384.000000
123,JCZ,168.785507,-44.073200,615.000000
124,KAFS,176.709305,-38.083500,225.000000
125,KAPS,174.703705,-36.822300,494.000000
126,KARS,172.116501,-41.249401,228.000000
127,KEKS,173.981400,-41.955700,494.000000
128,KFHS,176.466995,-39.433399,384.000000
129,KHLS,172.611893,-40.556999,494.000000
130,KHZ,173.539001,-42.416000,296.000000
131,KIKS,173.682098,-42.425800,600.000000
132,KILS,172.640594,-43.526901,192.000000
133,KIRS,175.229996,-41.076900,287.000000
134,KLDS,172.875000,-41.673100,231.000000
135,KNZ,177.673706,-39.021801,499.000000
136,KOKS,171.135605,-42.891701,235.000000
137,KOWC,171.854797,-43.321499,244.000000
138,KPOC,172.663803,-43.376499,257.000000
139,KUZ,175.720901,-36.745201,384.000000
140,KVSD,172.277695,-43.585400,231.000000
141,LBZ,170.184402,-44.385601,384.000000
142,LCQC,172.729706,-43.608601,195.000000
143,LHBS,174.892303,-41.196602,504.000000
144,LHES,174.903305,-41.211700,249.000000
145,LHRS,174.893204,-41.204700,498.000000
146,LHUS,174.893600,-41.230801,195.000000
147,LINC,172.468002,-43.623199,292.000000
148,LIRS,174.919296,-41.232300,337.000000
149,LNBS,174.926605,-41.205002,309.000000
150,LPCC,172.724792,-43.607800,792.000000
151,LPLS,169.423096,-43.714699,195.000000
152,LPOC,172.714798,-43.608398,195.000000
153,LRSC,171.793594,-43.729401,229.000000
154,LRSS,174.904205,-41.229401,251.000000
155,LSRC,172.543304,-42.869499,368.000000
156,LTZ,172.270996,-42.781700,370.000000
157,MAGS,174.725998,-36.885300,332.000000
158,MANS,167.278107,-45.521198,563.000000
159,MATS,172.703705,-41.429001,494.000000
160,MAVS,175.461502,-41.210899,231.000000
161,MAYC,171.421707,-43.823101,231.000000
162,MCAS,172.328003,-41.799900,230.000000
163,MCNS,170.097198,-43.736401,272.000000
164,MCPS,170.095200,-43.733200,272.000000
165,MECS,169.232895,-44.230400,271.000000
166,MENS,172.711502,-43.558498,500.000000
167,MGCS,173.944397,-41.507702,303.000000
168,MISS,174.818405,-41.314899,203.000000
169,MKBS,174.698105,-41.225899,348.000000
170,MKVS,174.705505,-41.265400,269.000000
171,MLZ,168.118393,-45.366501,473.000000
172,MMCS,175.769806,-37.815899,227.000000
173,MNGS,175.790802,-39.807800,326.000000
174,MNZS,172.973801,-43.637402,600.000000
175,MOLS,173.257401,-42.088001,282.000000
176,MORS,172.621399,-43.539501,179.000000
177,MOSS,168.237793,-45.667801,260.000000
178,MOTS,173.009506,-41.124699,229.000000
179,MPSS,172.642303,-43.499401,180.000000
180,MQZ,172.653793,-43.706100,473.000000
181,MRSS,172.559204,-43.511299,227.000000
182,MRZ,175.578506,-40.660500,272.000000
183,MSMC,171.402298,-43.704601,254.000000
184,MSZ,167.926407,-44.673302,500.000000
185,MSZS,167.925507,-44.673000,500.000000
186,MTDS,175.745499,-38.352100,500.000000
187,MTHS,171.666397,-43.563202,284.000000
188,MTHZ,176.841095,-38.852299,499.000000
189,MTPS,172.725601,-43.584702,830.000000
190,MWDS,175.752594,-39.406898,600.000000
191,MWFS,176.668900,-37.859100,494.000000
192,MWZ,177.527802,-38.334000,457.000000
193,MXZ,178.306595,-37.562302,597.000000
194,NAAS,176.871994,-39.468700,184.000000
195,NAMS,176.918900,-39.488400,257.000000
196,NBLC,172.731400,-43.506901,190.000000
197,NBSS,174.953796,-41.202301,200.000000
198,NCBS,173.283707,-41.270901,233.000000
199,NCDS,176.876099,-39.498402,163.000000
200,NCHS,176.896805,-39.506599,179.000000
201,NELS,173.274200,-41.287800,360.000000
202,NEWS,174.821793,-41.231998,493.000000
203,NGHS,176.914902,-39.485901,272.000000
204,NLMS,173.276794,-41.266499,276.000000
205,NMPS,175.227905,-41.574501,305.000000
206,NNBS,172.718002,-43.495399,212.000000
207,NNZ,173.379501,-41.217098,370.000000
208,NPCS,174.073395,-39.062401,299.000000
209,NSBS,168.660904,-43.996201,235.000000
210,NSPS,176.915894,-39.489601,256.000000
211,NWFS,175.233994,-41.589100,272.000000
212,NZAS,168.378403,-46.586800,309.000000
213,OAMS,170.969101,-45.099701,233.000000
214,ODZ,170.644608,-45.043999,473.000000
215,OHSS,172.660507,-43.444599,196.000000
216,OPCS,177.289200,-38.014099,229.000000
217,OPSS,173.854996,-39.450001,303.000000
218,OPWS,172.664307,-43.556198,179.000000
219,OPZ,170.597794,-45.884399,562.000000
220,ORCS,175.412598,-39.417400,303.000000
221,ORPS,167.765106,-46.286800,348.000000
222,OTKS,175.143799,-40.754902,239.000000
223,OUZ,173.596100,-35.219700,348.000000
224,OXZ,172.038300,-43.325901,429.000000
225,PAPS,175.005005,-40.914299,309.000000
226,PARS,172.750702,-43.567902,606.000000
227,PEEC,171.233994,-43.923901,244.000000
228,PFAS,174.846100,-41.138500,314.000000
229,PGFS,176.611801,-40.302200,235.000000
230,PGMS,174.879395,-41.224499,210.000000
231,PHFS,174.904495,-41.252602,500.000000
232,PHHS,174.904297,-41.252102,600.000000
233,PIPS,174.786102,-41.267502,195.000000
234,PKIS,170.146896,-44.191002,383.000000
235,PNBS,175.607605,-40.348900,230.000000
236,PNMS,175.593094,-40.362900,229.000000
237,PNRS,175.633698,-40.330299,231.000000
238,POKS,174.831497,-41.124901,274.000000
239,POLS,174.839096,-41.131401,233.000000
240,POTS,174.774597,-41.272202,422.000000
241,PPHS,172.606903,-43.492802,187.000000
242,PRKS,174.934097,-41.249001,198.000000
243,PRPC,172.682800,-43.525799,196.000000
244,PTHS,174.871902,-36.975601,301.000000
245,PTOS,174.860306,-41.223000,293.000000
246,PUZ,178.257202,-38.071499,348.000000
247,PVCS,174.873901,-41.224701,208.000000
248,PWES,174.825897,-41.127499,494.000000
249,PWZ,176.862000,-40.029701,384.000000
250,PXZ,176.862106,-40.030602,384.000000
251,PYZ,166.680695,-46.166302,615.000000
252,QCCS,174.023102,-41.279598,265.000000
253,QRZ,172.529099,-40.825500,608.000000
254,QTPS,168.662903,-45.032200,275.000000
255,RCBS,172.732697,-43.557899,337.000000
256,RCS1,173.629303,-41.539700,278.000000
257,RCS2,174.076401,-41.672199,289.000000
258,RDCS,171.864395,-42.119701,242.000000
259,REHS,172.635101,-43.521900,154.000000
260,RHBS,172.756897,-43.571400,465.000000
261,RHSC,172.564407,-43.536201,286.000000
262,RKAC,172.023102,-43.751499,452.000000
263,RLNS,166.685898,-45.687599,615.000000
264,ROLC,172.381104,-43.592800,447.000000
265,ROPS,176.254501,-38.136200,230.000000
266,ROTS,176.255203,-38.135700,230.000000
267,RPCS,176.343796,-38.438000,374.000000
268,RPZ,171.053894,-43.714600,272.000000
269,RQGS,174.781204,-41.296501,278.000000
270,RRKS,167.472504,-46.147400,285.000000
271,RTZ,176.980499,-38.615398,494.000000
272,RUAS,177.008301,-38.147598,326.000000
273,SACS,172.616196,-43.506699,185.000000
274,SBRC,172.252396,-43.808701,200.000000
275,SCAC,172.921600,-42.938599,280.000000
276,SEAS,174.837601,-41.326401,195.000000
277,SECF,166.884796,-45.220699,456.000000
278,SEDS,174.076401,-41.672298,289.000000
279,SEVS,174.902206,-41.247002,195.000000
280,SHFC,172.025803,-43.391201,231.000000
281,SHLC,172.663406,-43.505299,210.000000
282,SJFS,172.180298,-42.334599,275.000000
283,SKFS,170.509705,-45.898602,162.000000
284,SLRC,172.317505,-43.675098,327.000000
285,SMHS,172.336304,-43.262199,231.000000
286,SMTC,172.613907,-43.467499,226.000000
287,SNZO,174.704193,-41.308701,494.000000
288,SOCS,174.915894,-41.204300,267.000000
289,SOMS,174.865005,-41.257500,349.000000
290,SPFS,171.928894,-43.338001,231.000000
291,SPRS,171.930099,-43.336800,233.000000
292,STAS,172.641098,-43.513599,179.000000
293,STKS,172.644897,-43.606499,444.000000
294,SUMS,172.756805,-43.569199,465.000000
295,SWNC,172.495407,-43.369400,546.000000
296,SYZ,169.138794,-46.536900,274.000000
297,TA1S,176.757507,-37.888802,223.000000
298,TA2S,176.668900,-37.859100,494.000000
299,TA3S,176.730896,-37.928001,473.000000
300,TACS,175.692795,-37.542000,227.000000
301,TAFS,167.719101,-45.416698,232.000000
302,TAIS,174.954803,-41.180401,222.000000
303,TBAS,178.300797,-38.372799,206.000000
304,TBCS,176.156693,-37.702702,387.000000
305,TCW,174.276306,-41.210400,563.000000
306,TDHS,178.365402,-37.633301,195.000000
307,TEPS,174.781097,-41.290600,195.000000
308,TFSS,174.783096,-41.275398,298.000000
309,THHS,175.795593,-39.680000,373.000000
310,THOB,175.093002,-40.789398,306.000000
311,THPS,175.801407,-39.676800,299.000000
312,THZ,172.905197,-41.762501,329.000000
313,TIRS,175.909698,-38.468899,387.000000
314,TKAS,170.460602,-44.013302,422.000000
315,TKHS,175.155594,-38.332802,255.000000
316,TLED,172.201294,-43.595798,231.000000
317,TLZ,175.537994,-38.329399,494.000000
318,TMBS,170.195694,-46.071800,260.000000
319,TMDS,175.155396,-41.078098,384.000000
320,TMHS,175.546494,-37.139702,243.000000
321,TOKS,172.780807,-43.822399,597.000000
322,TOTS,175.085403,-41.104900,257.000000
323,TOZ,175.501801,-37.730999,384.000000
324,TPLC,172.472000,-43.549999,398.000000
325,TPPS,176.067505,-38.686298,600.000000
326,TRCS,171.244400,-44.402802,306.000000
327,TRMS,175.990997,-40.671299,494.000000
328,TRTS,174.773895,-41.298698,278.000000
329,TSFS,172.821106,-40.849400,380.000000
330,TSZ,175.961105,-40.058601,428.000000
331,TTHS,175.815002,-38.986301,231.000000
332,TUDS,177.150406,-38.806999,500.000000
333,TUHS,175.248306,-38.864101,429.000000
334,TUZ,169.631104,-45.953999,608.000000
335,TWAS,170.098297,-44.254601,284.000000
336,UHCS,175.040894,-41.126801,232.000000
337,UHSS,175.065094,-41.126400,254.000000
338,URZ,177.110901,-38.259201,278.000000
339,UTKS,175.837799,-39.746399,368.000000
340,VRZ,174.758499,-39.124298,384.000000
341,VUWS,174.778397,-41.279900,312.000000
342,WAIS,176.093704,-38.632500,597.000000
343,WAKC,172.705200,-42.963100,240.000000
344,WAKS,176.251694,-39.772701,280.000000
345,WANS,174.931000,-41.231201,377.000000
346,WAZ,174.985504,-39.754601,350.000000
347,WBCS,171.599792,-41.755699,229.000000
348,WBFS,176.311096,-40.400902,360.000000
349,WCDS,175.048004,-39.933601,316.000000
350,WCFS,174.784805,-41.293098,274.000000
351,WCSS,171.863495,-43.457699,241.000000
352,WCZ,174.345001,-35.938599,370.000000
353,WDAS,174.948502,-41.257401,123.000000
354,WDFS,174.138397,-41.827400,281.000000
355,WDPS,175.869797,-40.338200,231.000000
356,WEL,174.768204,-41.284000,513.000000
357,WEMS,174.779297,-41.274300,257.000000
358,WFES,174.776306,-41.283699,378.000000
359,WFSS,177.424896,-39.034199,195.000000
360,WHAS,170.326797,-43.316002,272.000000
361,WHFS,170.358994,-43.261200,260.000000
362,WHZ,167.947006,-45.892399,499.000000
363,WICS,177.414703,-39.035599,208.000000
364,WIGC,172.800293,-42.701199,232.000000
365,WKHS,176.985504,-37.961498,215.000000
366,WKZ,169.017593,-44.827000,473.000000
367,WNAS,174.809006,-41.326401,230.000000
368,WNHS,174.775497,-41.300800,277.000000
369,WNKS,174.742096,-41.284801,271.000000
370,WNPS,169.143005,-44.694599,359.000000
371,WPWS,176.584305,-39.943901,326.000000
372,WRCS,175.647797,-40.950401,231.000000
373,WSFC,171.610992,-43.837299,231.000000
374,WSTS,174.784500,-41.278099,195.000000
375,WTES,174.774200,-41.281601,502.000000
376,WTMC,173.053604,-42.619499,267.000000
377,WTYS,174.781296,-41.295399,283.000000
378,WVAS,170.737198,-43.071602,374.000000
379,WVFS,173.350906,-41.620201,231.000000
380,WVHS,174.630005,-39.757099,260.000000
381,WVZ,170.736801,-43.074402,370.000000
382,WVZS,170.735901,-43.074699,374.000000
